name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,11,16
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,17
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,18,17
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,18
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,13,18
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,19
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,11,19
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,20
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,11,20
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,21
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,16,21
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,22
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,14,22
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,23
